Date,Open,High,Low,Close,Adj Close,Volume
"Apr 28, 2026","77,368.28","77,423.17","76,500.34","76,829.97","76,829.97","32,525,946,880"
"Apr 27, 2026","78,661.02","79,488.17","76,481.34","77,366.63","77,366.63","38,135,631,927"
"Apr 20, 2026","73,854.25","79,468.00","73,775.57","78,657.54","78,657.54","235,789,607,405"
"Apr 13, 2026","70,757.62","78,320.68","70,588.52","73,856.35","73,856.35","296,305,123,061"
"Apr 6, 2026","68,982.91","73,784.23","67,740.51","70,753.41","70,753.41","256,329,278,069"
"Mar 30, 2026","65,958.35","69,230.36","65,725.26","68,981.90","68,981.90","218,148,470,636"
"Mar 23, 2026","67,843.00","71,985.74","64,971.71","65,954.92","65,954.92","255,116,280,552"
"Mar 16, 2026","72,798.17","75,988.40","67,372.88","67,845.21","67,845.21","285,450,089,323"
"Mar 9, 2026","65,969.59","73,927.33","65,858.01","72,789.91","72,789.91","301,054,621,121"
"Mar 2, 2026","65,734.08","74,051.80","65,303.14","65,969.78","65,969.78","331,122,778,300"
"Feb 23, 2026","67,668.43","69,953.53","62,553.19","65,738.10","65,738.10","311,478,915,256"
"Feb 16, 2026","68,782.40","70,067.23","65,637.43","67,659.39","67,659.39","216,831,409,086"
"Feb 9, 2026","70,243.33","71,369.97","65,092.11","68,788.19","68,788.19","304,022,005,451"
"Feb 2, 2026","76,968.88","79,258.61","60,074.20","70,264.73","70,264.73","552,857,565,129"
"Jan 26, 2026","86,566.52","90,439.29","75,698.90","76,974.45","76,974.45","384,470,316,689"
"Jan 19, 2026","93,655.67","93,660.83","86,003.71","86,572.22","86,572.22","273,829,578,138"
"Jan 12, 2026","90,825.86","97,860.60","90,055.02","93,634.43","93,634.43","280,085,470,493"
"Jan 5, 2026","91,414.63","94,762.07","89,233.88","90,827.46","90,827.46","259,512,375,535"
"Dec 29, 2025","87,835.79","91,712.59","86,717.91","91,413.49","91,413.49","230,621,462,811"
"Dec 22, 2025","88,621.40","90,501.93","86,411.80","87,835.84","87,835.84","198,587,430,131"
"Dec 15, 2025","88,171.08","90,264.57","84,436.31","88,621.75","88,621.75","264,999,230,688"
"Dec 8, 2025","90,424.59","94,601.57","87,634.94","88,175.18","88,175.18","449,188,954,528"
"Dec 1, 2025","90,389.11","94,060.77","83,862.25","90,405.64","90,405.64","457,343,640,300"
"Nov 24, 2025","86,798.77","92,969.09","85,272.20","90,394.31","90,394.31","400,123,670,982"
"Nov 17, 2025","94,180.88","95,928.37","80,659.81","86,805.01","86,805.01","601,874,776,014"
"Nov 10, 2025","104,723.77","107,428.26","92,971.16","94,177.08","94,177.08","530,543,355,033"
"Nov 3, 2025","110,646.91","110,764.91","98,962.06","104,719.64","104,719.64","528,630,842,986"
"Oct 27, 2025","114,479.85","116,273.31","106,376.69","110,639.63","110,639.63","378,401,671,301"
"Oct 20, 2025","108,667.45","115,260.91","106,778.00","114,472.45","114,472.45","415,030,266,271"
"Oct 13, 2025","115,161.68","116,020.48","103,598.43","108,666.71","108,666.71","508,815,465,964"
"Oct 6, 2025","123,510.45","126,198.07","104,582.41","115,169.77","115,169.77","645,797,975,711"
